dataset,strategy,seeds_completed,paired_numerical_classifications,official_test_accuracy_mean,official_test_accuracy_sample_standard_deviation,official_test_accuracy_minimum,official_test_accuracy_maximum,official_test_macro_f1_mean,official_test_macro_f1_sample_standard_deviation,official_test_macro_f1_minimum,official_test_macro_f1_maximum,total_runtime_seconds_mean,total_runtime_seconds_sample_standard_deviation,total_runtime_seconds_minimum,total_runtime_seconds_maximum,mean_round_time_seconds_mean,mean_round_time_seconds_sample_standard_deviation,mean_round_time_seconds_minimum,mean_round_time_seconds_maximum,client_wall_time_seconds_mean,client_wall_time_seconds_sample_standard_deviation,client_wall_time_seconds_minimum,client_wall_time_seconds_maximum,scheduler_overhead_seconds_mean,scheduler_overhead_seconds_sample_standard_deviation,scheduler_overhead_seconds_minimum,scheduler_overhead_seconds_maximum,scheduler_overhead_fraction_mean,scheduler_overhead_fraction_sample_standard_deviation,scheduler_overhead_fraction_minimum,scheduler_overhead_fraction_maximum,predicted_load_imbalance_mean,predicted_load_imbalance_sample_standard_deviation,predicted_load_imbalance_minimum,predicted_load_imbalance_maximum,observed_load_imbalance_mean,observed_load_imbalance_sample_standard_deviation,observed_load_imbalance_minimum,observed_load_imbalance_maximum,aggregation_time_seconds_mean,aggregation_time_seconds_sample_standard_deviation,aggregation_time_seconds_minimum,aggregation_time_seconds_maximum,node_local_reduction_time_seconds_mean,node_local_reduction_time_seconds_sample_standard_deviation,node_local_reduction_time_seconds_minimum,node_local_reduction_time_seconds_maximum,inter_node_movement_time_seconds_mean,inter_node_movement_time_seconds_sample_standard_deviation,inter_node_movement_time_seconds_minimum,inter_node_movement_time_seconds_maximum,global_reduction_time_seconds_mean,global_reduction_time_seconds_sample_standard_deviation,global_reduction_time_seconds_minimum,global_reduction_time_seconds_maximum,logical_intra_node_bytes_mean,logical_intra_node_bytes_sample_standard_deviation,logical_intra_node_bytes_minimum,logical_intra_node_bytes_maximum,logical_inter_node_bytes_mean,logical_inter_node_bytes_sample_standard_deviation,logical_inter_node_bytes_minimum,logical_inter_node_bytes_maximum,predicted_logical_inter_node_bytes_mean,predicted_logical_inter_node_bytes_sample_standard_deviation,predicted_logical_inter_node_bytes_minimum,predicted_logical_inter_node_bytes_maximum,client_result_collection_bytes_mean,client_result_collection_bytes_sample_standard_deviation,client_result_collection_bytes_minimum,client_result_collection_bytes_maximum,model_distribution_bytes_mean,model_distribution_bytes_sample_standard_deviation,model_distribution_bytes_minimum,model_distribution_bytes_maximum,model_sized_payloads_crossing_node_boundaries_mean,model_sized_payloads_crossing_node_boundaries_sample_standard_deviation,model_sized_payloads_crossing_node_boundaries_minimum,model_sized_payloads_crossing_node_boundaries_maximum,maximum_peak_allocated_bytes_mean,maximum_peak_allocated_bytes_sample_standard_deviation,maximum_peak_allocated_bytes_minimum,maximum_peak_allocated_bytes_maximum,maximum_peak_reserved_bytes_mean,maximum_peak_reserved_bytes_sample_standard_deviation,maximum_peak_reserved_bytes_minimum,maximum_peak_reserved_bytes_maximum,gpu_utilization_percent_mean,gpu_utilization_percent_sample_standard_deviation,gpu_utilization_percent_minimum,gpu_utilization_percent_maximum,internal_treatment_duration_seconds_mean,internal_treatment_duration_seconds_sample_standard_deviation,internal_treatment_duration_seconds_minimum,internal_treatment_duration_seconds_maximum,derived_treatment_gpu_exposure_hours_mean,derived_treatment_gpu_exposure_hours_sample_standard_deviation,derived_treatment_gpu_exposure_hours_minimum,derived_treatment_gpu_exposure_hours_maximum,paired_speedup_mean,paired_speedup_sample_standard_deviation,paired_speedup_minimum,paired_speedup_maximum,paired_runtime_reduction_mean,paired_runtime_reduction_sample_standard_deviation,paired_runtime_reduction_minimum,paired_runtime_reduction_maximum,maximum_absolute_parameter_difference_mean,maximum_absolute_parameter_difference_sample_standard_deviation,maximum_absolute_parameter_difference_minimum,maximum_absolute_parameter_difference_maximum,maximum_relative_parameter_difference_mean,maximum_relative_parameter_difference_sample_standard_deviation,maximum_relative_parameter_difference_minimum,maximum_relative_parameter_difference_maximum,runtime_regression_fraction_mean,runtime_regression_fraction_sample_standard_deviation,runtime_regression_fraction_minimum,runtime_regression_fraction_maximum
shd,event_structure_longest_processing_time,"37,47,57","[{'seed': 37, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 47, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 57, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}]",0.7055359246171967,0.006556373403478303,0.698321554770318,0.7111307420494699,0.694748868287478,0.007288414619577492,0.6904812126172832,0.7031645210148627,579.1339272896294,23.86704848191912,565.3323108460754,606.6932093392825,5.791339272896294,0.2386704848191911,5.6533231084607545,6.066932093392825,439.6393946676205,23.53208689688839,422.17113916610833,466.3986202273518,9.928402313458113,0.1753265976192142,9.758509451057762,10.10869929427281,0.01715527549392046,0.0004501171965604329,0.016661962155933244,0.017543660612995046,0.2267360644151157,0.032874914199024774,0.19943684969398556,0.2632291531281468,0.27112430031978435,0.028634558175776825,0.25243351342657294,0.3040902099738391,4.149846387483801,0.12047905944023213,4.014624728006311,4.24576853774488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.149846387483801,0.12047905944023213,4.014624728006311,4.24576853774488,336781440.0,3564744.77745378,333927360.0,340777152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336781440.0,3564744.77745378,333927360.0,340777152.0,128433600.0,0.0,128433600.0,128433600.0,0.0,0.0,0.0,0.0,116810240.0,244106.97405850576,116529152.0,116968960.0,127926272.0,0.0,127926272.0,127926272.0,38.90075213934371,1.2947767090531708,37.9172794117647,40.36769759450172,591.6769775486706,23.95143129707935,577.7465970839839,619.3334566790145,0.6574188639429673,0.026612701441199323,0.6419406634266488,0.688148285198905,1.0598649663258843,0.05996155153925454,0.9932412970245184,1.1094971159126017,0.05441907281495685,0.054752648377941734,-0.006804693880257396,0.09869076209588552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05441907281495685,0.054752648377941734,-0.09869076209588552,0.006804693880257396
shd,example_count_longest_processing_time,"37,47,57","[{'seed': 37, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 47, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 57, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}]",0.7055359246171967,0.006556373403478303,0.698321554770318,0.7111307420494699,0.694748868287478,0.007288414619577492,0.6904812126172832,0.7031645210148627,566.8649260906581,4.546155660703452,561.8510521679418,570.718463403522,5.66864926090658,0.045461556607034485,5.6185105216794184,5.707184634035221,438.3006777352809,7.665956556077347,431.63208374299575,446.67623256496154,1.3534706986586873,0.011106305764312215,1.346804176690057,1.3662917487090454,0.002387723791238995,2.4425556092503714e-05,0.0023598398563422847,0.002405336238415542,0.20234068840408947,0.03407488090438146,0.17733822302755692,0.24115266134171492,0.27010747995148054,0.03664919929261759,0.24401040324640375,0.3120068545029405,4.163626807082134,0.15478904857332712,4.038264211732894,4.336638582521118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163626807082134,0.15478904857332712,4.038264211732894,4.336638582521118,334783584.0,7610285.376771622,326221344.0,340777152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334783584.0,7610285.376771622,326221344.0,340777152.0,128433600.0,0.0,128433600.0,128433600.0,0.0,0.0,0.0,0.0,116798122.66666667,223251.571007537,116540416.0,116932608.0,127926272.0,0.0,127926272.0,127926272.0,38.71619765471244,0.7322697648478403,38.05576208178439,39.50367647058823,575.2423887086721,4.637014233645834,570.0943266800605,579.0911722539458,0.6391582096763024,0.005152238037384268,0.6334381407556228,0.6434346358377177,1.0813530098600868,0.031424650728757865,1.0558494052330283,1.1164584089019824,0.07471781494336514,0.026573778601078468,0.052895237669525585,0.10431056631703581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07471781494336514,0.026573778601078468,-0.10431056631703581,-0.052895237669525585
shd,round_robin,"37,47,57",[],0.7055359246171967,0.006556373403478303,0.698321554770318,0.7111307420494699,0.694748868287478,0.007288414619577492,0.6904812126172832,0.7031645210148627,612.8859491954403,12.846767943013292,602.5927501401166,627.2833317433251,6.128859491954402,0.12846767943013276,6.025927501401165,6.272833317433251,487.2841981629608,10.978487425803237,477.75053124618717,499.28698922891635,0.05387180934970578,0.0038219428834116846,0.051447464735247195,0.05827759439125657,8.795212253315296e-05,7.03875667024403e-06,8.201631086269437e-05,9.572821932991244e-05,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.40966773536533013,0.02836553885404379,0.39287608082566927,0.44241790614603727,4.329769790327798,0.3030428713061609,4.146432489273138,4.679557710536756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329769790327798,0.3030428713061609,4.146432489273138,4.679557710536756,299678400.0,0.0,299678400.0,299678400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299678400.0,0.0,299678400.0,299678400.0,128433600.0,0.0,128433600.0,128433600.0,0.0,0.0,0.0,0.0,116913493.33333333,45080.235905919275,116867584.0,116957696.0,128625322.66666667,1210791.271731562,127926272.0,130023424.0,43.009211525690766,0.6191558837216706,42.39685314685315,43.634948096885815,620.8373620353717,12.874543543521309,610.50282238808,635.2594597430434,0.689819291150413,0.014305048381690319,0.6783364693200888,0.7058438441589371,,,,,,,,,,,,,,,,,,,,
ssc,event_structure_longest_processing_time,"37,47,57","[{'seed': 37, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 47, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 57, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}]",0.4377228273313054,0.008800512845712729,0.42777941320773233,0.44450986164262585,0.4109346903515047,0.011040728920421152,0.40428662105679103,0.4236794508776746,1254.6722426519652,21.343995994276867,1240.191541407141,1279.1839028251125,12.546722426519652,0.21343995994276918,12.401915414071409,12.791839028251125,765.9814930538802,9.55632796234779,759.3035519599216,776.928172269254,110.4547786048691,2.5640753711740927,108.31250204902608,113.29579565767199,0.08803038015142868,0.0008730513913301482,0.08702306718043558,0.08856880969769487,0.2730757300401242,0.006264743065407091,0.26655725130663527,0.27905141596926514,0.292359966629518,0.008958674747350591,0.28279475379317903,0.300554006877541,1.587038413155824,0.009515276091888271,1.5773207113379613,1.5963374422863126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587038413155824,0.009515276091888271,1.5773207113379613,1.5963374422863126,122278700.0,2616955.5651558167,119256900.0,123789600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122278700.0,2616955.5651558167,119256900.0,123789600.0,46890000.0,0.0,46890000.0,46890000.0,0.0,0.0,0.0,0.0,208718336.0,0.0,208718336.0,208718336.0,276824064.0,0.0,276824064.0,276824064.0,45.64653282972508,0.21357001728639147,45.44670050761421,45.87159863945578,1276.98522400402,21.775449537980307,1262.4526090850122,1302.0215210609604,1.4188724711155778,0.02419494393108924,1.4027251212055691,1.4466905789566227,0.9473808551702319,0.012978716499031864,0.9324926742947692,0.9563094100322163,-0.05567477845292024,0.014570951684643398,-0.07239448369531228,-0.04568666742107237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05567477845292024,0.014570951684643398,0.04568666742107237,0.07239448369531228
ssc,example_count_longest_processing_time,"37,47,57","[{'seed': 37, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 47, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}, {'seed': 57, 'execution_structural_identity': True, 'model_state_structural_identity': True, 'mathematical_equivalence': True, 'bitwise_parameter_identity': True, 'prediction_identity': True, 'checkpoint_selection_identity': True, 'first_differing_client_update_round': None, 'first_differing_aggregate_model_round': None, 'trajectory_divergence_classification': 'no_recorded_trajectory_divergence'}]",0.4377228273313054,0.008800512845712729,0.42777941320773233,0.44450986164262585,0.4109346903515047,0.011040728920421152,0.40428662105679103,0.4236794508776746,1130.6762240111905,20.466991917234427,1116.5168973918771,1154.1428595978068,11.306762240111905,0.20466991917234478,11.165168973918771,11.541428595978068,756.2027649222097,10.4887472721527,748.2595000821166,768.0922396682436,1.7647962713381276,0.10798638070574194,1.6411052991170436,1.8402970114257187,0.001560373199758645,7.918609420441606e-05,0.0014698436745118472,0.0016167618694875848,0.23779048944056277,0.01376121478335794,0.2243547729194601,0.251855603888776,0.2956400731508708,0.009671658675512956,0.28548323371749446,0.30473967939383245,1.582092144448931,0.010259219130437576,1.5749066543066874,1.5938413670519367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582092144448931,0.010259219130437576,1.5749066543066874,1.5938413670519367,122174500.0,2663222.3583471207,119100600.0,123789600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122174500.0,2663222.3583471207,119100600.0,123789600.0,46890000.0,0.0,46890000.0,46890000.0,0.0,0.0,0.0,0.0,208718336.0,0.0,208718336.0,208718336.0,276824064.0,0.0,276824064.0,276824064.0,42.779962149149725,0.3438414478962908,42.38862781954887,43.03368121442125,1148.630464015024,20.59790292733687,1134.735930579016,1172.295387879014,1.2762560711278046,0.02288655880815202,1.2608177006433512,1.3025504309766822,1.051280561968487,0.01345037487896631,1.0357832736664774,1.0599169706423366,0.04867456545874597,0.012260352035132486,0.034547066530444384,0.05652987196348544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04867456545874597,0.012260352035132486,-0.05652987196348544,-0.034547066530444384
ssc,round_robin,"37,47,57",[],0.4377228273313054,0.008800512845712729,0.42777941320773233,0.44450986164262585,0.4109346903515047,0.011040728920421152,0.40428662105679103,0.4236794508776746,1188.7773502813652,33.467829635144476,1156.4695270844968,1223.295603433391,11.887773502813653,0.334678296351445,11.564695270844968,12.232956034333911,814.9146339403233,25.332826390194075,789.0744753285544,839.7076549669728,0.054676471666122474,0.0023337217183141304,0.05217755422927439,0.05679932364728302,4.6030473894855017e-05,2.719963061607892e-06,4.3973545305754755e-05,4.911441444590092e-05,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.40712198550203055,0.025320399265232232,0.3781334136611985,0.4249131860289329,1.6682064225121092,0.02897652151192351,1.649414365296252,1.7015770780853927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6682064225121092,0.02897652151192351,1.649414365296252,1.7015770780853927,109410000.0,0.0,109410000.0,109410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109410000.0,0.0,109410000.0,109410000.0,46890000.0,0.0,46890000.0,46890000.0,0.0,0.0,0.0,0.0,208718336.0,0.0,208718336.0,208718336.0,276824064.0,0.0,276824064.0,276824064.0,45.8211983301212,0.3605870123771827,45.450819672131146,46.17112299465241,1206.4849350383738,33.28450387539779,1174.6044666740345,1241.0150858659763,1.3405388167093042,0.036982782083775395,1.3051160740822605,1.378905650962196,,,,,,,,,,,,,,,,,,,,
