experiment,protocol,participation_fraction,completed,completed_seed_count,scientific_status,parameter_count,centralized_minus_federated_accuracy,best_validation_accuracy_mean,best_validation_accuracy_sample_standard_deviation,best_validation_accuracy_minimum,best_validation_accuracy_maximum,official_test_accuracy_mean,official_test_accuracy_sample_standard_deviation,official_test_accuracy_minimum,official_test_accuracy_maximum,selected_round_mean,selected_round_sample_standard_deviation,selected_round_minimum,selected_round_maximum,final_validation_accuracy_mean,final_validation_accuracy_sample_standard_deviation,final_validation_accuracy_minimum,final_validation_accuracy_maximum,logical_communication_bytes_mean,logical_communication_bytes_sample_standard_deviation,logical_communication_bytes_minimum,logical_communication_bytes_maximum,execution_time_seconds_mean,execution_time_seconds_sample_standard_deviation,execution_time_seconds_minimum,execution_time_seconds_maximum,mean_client_update_l2_norm_mean,mean_client_update_l2_norm_sample_standard_deviation,mean_client_update_l2_norm_minimum,mean_client_update_l2_norm_maximum,layer1_client_spike_rate_mean,layer1_client_spike_rate_sample_standard_deviation,layer1_client_spike_rate_minimum,layer1_client_spike_rate_maximum,layer2_client_spike_rate_mean,layer2_client_spike_rate_sample_standard_deviation,layer2_client_spike_rate_minimum,layer2_client_spike_rate_maximum
shd_lif_dirichlet_alpha_0_5_participation_0_50,independent_evaluation,0.5,True,3,not_claimed,107028,0.06404593639575973,0.8868464052287581,0.009359835978259505,0.8786764705882353,0.8970588235294118,0.6996466431095406,0.029954031507395756,0.6665194346289752,0.7248233215547704,96.33333333333333,3.2145502536643185,94.0,100.0,0.8729575163398693,0.013774277205953742,0.8578431372549019,0.8848039215686274,856224000.0,0.0,856224000.0,856224000.0,1594.256473505947,58.24053801484412,1543.7941707608989,1657.9860309429932,1.1095900666628706,0.004929491590472301,1.1063980809921292,1.1152675185448169,0.12485130356528694,0.011787416345601402,0.11167898869140294,0.13440575592558004,0.02583682893900752,0.0012260784779129165,0.02472086240249523,0.02714928715783514
shd_lif_dirichlet_alpha_0_5_participation_0_25,independent_evaluation,0.25,True,3,not_claimed,107028,0.09275618374558303,0.8431372549019608,0.01767427095815681,0.8284313725490197,0.8627450980392157,0.6709363957597173,0.012152664745757576,0.6585689045936396,0.6828621908127208,94.33333333333333,1.1547005383792515,93.0,95.0,0.8174019607843137,0.019260090251840365,0.7953431372549019,0.8308823529411765,428112000.0,0.0,428112000.0,428112000.0,869.6863951277337,19.794796299858437,847.9376993933693,886.6500480409304,1.15466396755531,0.00806027944386284,1.1481364689427127,1.1636733174490201,0.11597106632882172,0.01051051512897779,0.10385637945001575,0.12265825073849881,0.023578163740128194,0.0012750735042773031,0.022492264949813507,0.024982176608093917
