workload,device_count,client_processes_per_device,process_count,completed_seed_count,structural_identity_status,numerical_equivalence_status,metrics_official_test_accuracy_mean,metrics_official_test_accuracy_sample_standard_deviation,metrics_official_test_accuracy_minimum,metrics_official_test_accuracy_maximum,metrics_official_test_macro_f1_mean,metrics_official_test_macro_f1_sample_standard_deviation,metrics_official_test_macro_f1_minimum,metrics_official_test_macro_f1_maximum,metrics_total_runtime_seconds_mean,metrics_total_runtime_seconds_sample_standard_deviation,metrics_total_runtime_seconds_minimum,metrics_total_runtime_seconds_maximum,metrics_total_round_time_seconds_mean,metrics_total_round_time_seconds_sample_standard_deviation,metrics_total_round_time_seconds_minimum,metrics_total_round_time_seconds_maximum,metrics_mean_round_time_seconds_mean,metrics_mean_round_time_seconds_sample_standard_deviation,metrics_mean_round_time_seconds_minimum,metrics_mean_round_time_seconds_maximum,metrics_parallel_client_training_wall_time_seconds_mean,metrics_parallel_client_training_wall_time_seconds_sample_standard_deviation,metrics_parallel_client_training_wall_time_seconds_minimum,metrics_parallel_client_training_wall_time_seconds_maximum,metrics_aggregation_time_seconds_mean,metrics_aggregation_time_seconds_sample_standard_deviation,metrics_aggregation_time_seconds_minimum,metrics_aggregation_time_seconds_maximum,metrics_validation_time_seconds_mean,metrics_validation_time_seconds_sample_standard_deviation,metrics_validation_time_seconds_minimum,metrics_validation_time_seconds_maximum,metrics_maximum_process_peak_cuda_memory_bytes_mean,metrics_maximum_process_peak_cuda_memory_bytes_sample_standard_deviation,metrics_maximum_process_peak_cuda_memory_bytes_minimum,metrics_maximum_process_peak_cuda_memory_bytes_maximum,metrics_maximum_process_peak_cuda_reserved_bytes_mean,metrics_maximum_process_peak_cuda_reserved_bytes_sample_standard_deviation,metrics_maximum_process_peak_cuda_reserved_bytes_minimum,metrics_maximum_process_peak_cuda_reserved_bytes_maximum,metrics_process_load_imbalance_mean,metrics_process_load_imbalance_sample_standard_deviation,metrics_process_load_imbalance_minimum,metrics_process_load_imbalance_maximum,metrics_best_validation_accuracy_mean,metrics_best_validation_accuracy_sample_standard_deviation,metrics_best_validation_accuracy_minimum,metrics_best_validation_accuracy_maximum,metrics_allocated_gpu_hours_mean,metrics_allocated_gpu_hours_sample_standard_deviation,metrics_allocated_gpu_hours_minimum,metrics_allocated_gpu_hours_maximum,metrics_slurm_elapsed_seconds_mean,metrics_slurm_elapsed_seconds_sample_standard_deviation,metrics_slurm_elapsed_seconds_minimum,metrics_slurm_elapsed_seconds_maximum,metrics_gpu_utilization_percent_mean,metrics_gpu_utilization_percent_sample_standard_deviation,metrics_gpu_utilization_percent_minimum,metrics_gpu_utilization_percent_maximum,paired_to_one_gpu_speedup_mean,paired_to_one_gpu_speedup_sample_standard_deviation,paired_to_one_gpu_speedup_minimum,paired_to_one_gpu_speedup_maximum,paired_to_one_gpu_parallel_efficiency_mean,paired_to_one_gpu_parallel_efficiency_sample_standard_deviation,paired_to_one_gpu_parallel_efficiency_minimum,paired_to_one_gpu_parallel_efficiency_maximum,paired_to_one_gpu_maximum_absolute_parameter_difference_mean,paired_to_one_gpu_maximum_absolute_parameter_difference_sample_standard_deviation,paired_to_one_gpu_maximum_absolute_parameter_difference_minimum,paired_to_one_gpu_maximum_absolute_parameter_difference_maximum,paired_to_one_gpu_maximum_relative_parameter_difference_mean,paired_to_one_gpu_maximum_relative_parameter_difference_sample_standard_deviation,paired_to_one_gpu_maximum_relative_parameter_difference_minimum,paired_to_one_gpu_maximum_relative_parameter_difference_maximum,paired_to_one_gpu_official_test_accuracy_difference_mean,paired_to_one_gpu_official_test_accuracy_difference_sample_standard_deviation,paired_to_one_gpu_official_test_accuracy_difference_minimum,paired_to_one_gpu_official_test_accuracy_difference_maximum,paired_to_one_gpu_official_test_macro_f1_difference_mean,paired_to_one_gpu_official_test_macro_f1_difference_sample_standard_deviation,paired_to_one_gpu_official_test_macro_f1_difference_minimum,paired_to_one_gpu_official_test_macro_f1_difference_maximum
shd,1,1,1,3,exact,exact,0.6996466431095406,0.029954031507395756,0.6665194346289752,0.7248233215547704,0.6965712050350189,0.03017667587359217,0.6637972416470033,0.723206711484356,1515.4534478266723,85.44366958085072,1419.71274458454,1583.9613617666764,1515.4534478266723,85.44366958085072,1419.71274458454,1583.9613617666764,15.154534478266724,0.8544366958085066,14.1971274458454,15.839613617666764,1400.9618893538525,76.72817846022019,1315.6953787540551,1464.4381290231831,4.223738060410445,0.15087823620265303,4.115605799946934,4.3961038222769275,102.83945444323278,8.968097393953444,92.49055673368275,108.33329023479018,116934997.33333333,48923.022201549786,116878848.0,116968448.0,128625322.66666667,1210791.271731562,127926272.0,130023424.0,0.0,0.0,0.0,0.0,0.8868464052287581,0.009359835978259505,0.8786764705882353,0.8970588235294118,0.4275925925925926,0.023863574011640704,0.4008333333333333,0.44666666666666666,1539.3333333333333,85.90886644190653,1443.0,1608.0,17.247603738012668,1.068595274781493,16.190355329949238,18.327195467422097,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shd,1,2,2,3,exact,unavailable_or_difference_observed,0.6996466431095406,0.021439330564508145,0.6863957597173145,0.7243816254416962,0.6947159640251976,0.02010768352175143,0.6776209715685175,0.7168700711941963,864.5185116601642,14.810359883082135,850.0468174715061,879.6457661289023,864.5185116601642,14.810359883082135,850.0468174715061,879.6457661289023,8.645185116601642,0.148103598830822,8.50046817471506,8.796457661289024,754.6753659816071,11.105896742659295,745.4319976684637,766.9951699819649,2.371009137481451,0.06048047629931797,2.302963108289987,2.4186406584922224,100.6244373457351,4.474117341347478,95.46062432148028,103.34419258672278,116934485.33333333,48923.022201549786,116878336.0,116967936.0,127926272.0,0.0,127926272.0,127926272.0,0.29796353628685474,0.04759167115897974,0.2432705993434532,0.3299445651566183,0.883578431372549,0.01413304239542989,0.8676470588235294,0.8946078431372549,0.24712962962962962,0.004169751944147296,0.24305555555555555,0.2513888888888889,889.6666666666666,15.01110699893027,875.0,905.0,32.588011182310694,1.5650267119373362,30.95,34.068075117370896,1.7522129921413012,0.07144992851929613,1.6701582964659818,1.800680936301539,0.8761064960706506,0.035724964259648065,0.8350791482329909,0.9003404681507695,0.4492088258266449,0.06392302477033236,0.3891121745109558,0.5163711309432983,36584.0498046875,41392.00887057537,9457.8779296875,84226.84375,0.0,0.021425676388047574,-0.021201413427561877,0.021643109540636085,-0.0018552410098213363,0.025768090222533912,-0.025088690405180025,0.025859607665875695
shd,1,4,4,3,exact,unavailable_or_difference_observed,0.7015606595995288,0.027164610204524417,0.6704946996466431,0.7208480565371025,0.7001345891179103,0.025561780981449806,0.6711155119099981,0.7193157993118364,561.2485926883916,5.207054862864877,557.0277349385433,567.067348711309,561.2485926883916,5.207054862864877,557.0277349385433,567.067348711309,5.612485926883916,0.05207054862864894,5.5702773493854325,5.67067348711309,453.0701725798426,1.5404218046577882,451.7013403060846,454.73826701322105,2.0153921102561676,0.02698868969282536,1.9950635120039806,2.0460124706150964,99.43480750064676,4.042861378571279,95.54760561673902,103.61715234525036,116859904.0,99774.337381914,116770304.0,116967424.0,127926272.0,0.0,127926272.0,127926272.0,0.6397081133923936,0.04796056812958494,0.5925464889344705,0.688429569590433,0.880718954248366,0.008159715831469815,0.8737745098039216,0.8897058823529411,0.16305555555555556,0.0014698618394803219,0.16194444444444445,0.16472222222222221,587.0,5.291502622129181,583.0,593.0,44.7365229282159,0.9127794424962229,43.80782918149466,45.63250883392226,2.6998202399705167,0.1419001360501619,2.5487290049232043,2.830267839516344,0.6749550599926292,0.03547503401254048,0.6371822512308011,0.707566959879086,0.4711133639017741,0.06445427270524269,0.39675742387771606,0.5110750198364258,53802.460286458336,34746.48800528834,18860.248046875,88349.859375,0.001914016489988198,0.005176206075161052,-0.003975265017667873,0.005742049469964594,0.003563384082891289,0.006455669515791929,-0.0038909121725195783,0.007318270262994808
