experiment,config_name,dataset,model_name,attention_variant,protocol,completed,completed_seed_count,scientific_status,reference_test_accuracy,tolerance,parameter_count,best_validation_accuracy_mean,best_validation_accuracy_sample_standard_deviation,best_validation_accuracy_minimum,best_validation_accuracy_maximum,official_test_accuracy_mean,official_test_accuracy_sample_standard_deviation,official_test_accuracy_minimum,official_test_accuracy_maximum,runtime_seconds_mean,runtime_seconds_sample_standard_deviation,runtime_seconds_minimum,runtime_seconds_maximum,peak_cuda_memory_bytes_mean,peak_cuda_memory_bytes_sample_standard_deviation,peak_cuda_memory_bytes_minimum,peak_cuda_memory_bytes_maximum,layer1_spike_rate_mean,layer1_spike_rate_sample_standard_deviation,layer1_spike_rate_minimum,layer1_spike_rate_maximum,layer2_spike_rate_mean,layer2_spike_rate_sample_standard_deviation,layer2_spike_rate_minimum,layer2_spike_rate_maximum
shd_lif_independent_evaluation,shd_lif_independent_evaluation,shd,lif_2layer,none,independent_evaluation,True,3,not_claimed,,,107028,0.9644607843137255,0.006484684585942601,0.9571078431372549,0.9693627450980392,0.7636925795053003,0.022643119466389208,0.7398409893992933,0.7848939929328622,375.5303456313074,117.24246647737817,302.5793223247747,510.77025924497866,431251626.6666667,529721.1813825584,430945792.0,431863296.0,0.1440476824972701,0.0033307589418901536,0.14155044178992507,0.14782944255616326,0.04798550610798104,0.002198306039826104,0.04574435325293885,0.050138300949883564
shd_dcls_published_protocol,shd_dcls_published_protocol,shd,dcls_shd,none,published_protocol,True,3,not_claimed,,,310272,0.9137220259128387,0.0024326725032182066,0.9112190812720848,0.916077738515901,0.9137220259128387,0.0024326725032182066,0.9112190812720848,0.916077738515901,819.7753291152767,21.641922674012303,795.8739693782991,838.0439650670742,533883562.6666667,275068.5552754683,533652992.0,534188032.0,0.11416751794720235,0.003792613155846805,0.10978872896214319,0.11641666039489082,0.09550939772730738,0.005927047084708264,0.08868945017250479,0.09941548001769289
shd_pfa_equation_independent_evaluation,shd_pfa_equation_independent_evaluation,shd,lif_2layer,equation,independent_evaluation,True,3,not_claimed,,,107028,0.9665032679738562,0.005660296756761017,0.9632352941176471,0.9730392156862745,0.7843050647820966,0.019198967388342772,0.7698763250883393,0.806095406360424,353.11631581530673,53.718280600185295,298.7660846459912,406.1795164879295,934043818.6666666,529721.1813825584,933737984.0,934655488.0,0.17629950114544782,0.006595299930376187,0.17199877991760734,0.1838928231648827,0.04490723695728519,0.0015593136478640533,0.043758576210649214,0.046682355787937925
shd_pfa_public_published_protocol,shd_pfa_public_published_protocol,shd,lif_2layer,public_behavior,published_protocol,True,3,not_claimed,,,107028,0.8402532391048292,0.0009194637806829274,0.8392226148409894,0.8409893992932862,0.8402532391048292,0.0009194637806829274,0.8392226148409894,0.8409893992932862,805.8770408883478,27.0563944068737,782.1700499608123,835.3524662739947,933985109.3333334,428033.633170728,933737984.0,934479360.0,0.1734954210729189,0.00536992135631136,0.16737320027343786,0.1774079213567725,0.046764537378274955,0.00040292618265587796,0.04641834285332507,0.04720682141947553
ssc_lif_128_independent_evaluation,ssc_lif_128_independent_evaluation,ssc,lif_2layer_128,none,independent_evaluation,True,3,not_claimed,,,39075,0.5704839194469492,0.002343255297771046,0.5690812543833283,0.5731890592125037,0.5489811271383247,0.0019834603445047254,0.5477872632715141,0.5512707290746738,2672.817210509655,823.5768239952744,1723.4981510048383,3196.1981674559647,208247808.0,0.0,208247808.0,208247808.0,0.1334685715754494,0.02460743392507615,0.1073486317645404,0.1562155101802885,0.018667867959268756,0.0007186013461348583,0.018132476934360937,0.0194845673264477
ssc_pfa_equation_128_independent_evaluation,ssc_pfa_equation_128_independent_evaluation,ssc,lif_2layer_128,equation,independent_evaluation,True,3,not_claimed,,,39075,0.5792338777009651,0.0014599400857892527,0.5776976254884281,0.580603145977357,0.5578124488928139,0.005709103030683423,0.5512216661760376,0.5612304974977922,2947.063280387316,378.0135293460262,2515.381460809149,3218.8714426808874,391748608.0,0.0,391748608.0,391748608.0,0.1306008131186438,0.0050082882378114,0.12512520418864548,0.13494990005648624,0.018237179766097726,0.0002929871252759932,0.01806750193988134,0.018575491620652047
